CUSIP,SEQ,DESCRIP,F,FIRSTRST,USAGE
3130AK4Q6,1,Overnight SOFR,D,2020-09-04,Coupon Reset
3130AK5R3,1,Overnight SOFR,D,2020-09-14,Coupon Reset
3130AK5X0,1,Overnight SOFR,D,2020-09-14,Coupon Reset
3130AK6N1,1,Overnight SOFR,D,2020-09-15,Coupon Reset
3130AKBT2,1,Overnight SOFR,D,2020-10-08,Coupon Reset
3130AKD45,1,Overnight SOFR,D,2020-10-23,Coupon Reset
3130AKE28,1,Overnight SOFR,D,2020-10-22,Coupon Reset
3130AKEA0,1,Overnight SOFR,D,2020-10-28,Coupon Reset
3130AKET9,1,Overnight SOFR,D,2020-10-29,Coupon Reset
3130AKFC5,1,Overnight SOFR,D,2020-11-03,Coupon Reset
3130AKFR2,1,Overnight SOFR,D,2020-11-09,Coupon Reset
3130AKG34,1,Overnight SOFR,D,2020-11-13,Coupon Reset
3130AKGQ3,1,Overnight SOFR,D,2020-11-20,Coupon Reset
3130AKH82,1,Overnight SOFR,D,2020-11-20,Coupon Reset
3130AKHJ8,1,Overnight SOFR,D,2020-11-24,Coupon Reset
3130AKHU3,1,Overnight SOFR,D,2020-12-01,Coupon Reset
3130AKJK3,1,Overnight SOFR,D,2020-12-09,Coupon Reset
3130AKK47,1,Overnight SOFR,D,2020-12-14,Coupon Reset
3130AKKJ4,1,Overnight SOFR,D,2020-12-15,Coupon Reset
3130AKKN5,1,Overnight SOFR,D,2020-12-15,Coupon Reset
3130AKKW5,1,Overnight SOFR,D,2020-12-22,Coupon Reset
3130AKTD8,1,Overnight SOFR,D,2021-01-19,Coupon Reset
3130AKYV2,1,Overnight SOFR,D,2021-02-02,Coupon Reset
3130ALJ54,1,Overnight SOFR,D,2021-02-25,Coupon Reset
3130ALKH6,1,Overnight SOFR,D,2021-03-01,Coupon Reset
3130ALR48,1,Overnight SOFR,D,2021-03-15,Coupon Reset
3130ALSC9,1,Overnight SOFR,D,2021-03-18,Coupon Reset
3130ALV76,1,Overnight SOFR,D,2021-03-26,Coupon Reset
3130AMER9,1,Overnight SOFR,D,2021-05-04,Coupon Reset
3130AMGN6,1,Overnight SOFR,D,2021-05-07,Coupon Reset
3130AMLQ3,1,Overnight SOFR,D,2021-05-19,Coupon Reset
3130AMMK5,1,Overnight SOFR,D,2021-05-20,Coupon Reset
3130AMRM6,1,Overnight SOFR,D,2021-06-01,Coupon Reset
3130AMTE2,1,Overnight SOFR,D,2021-06-04,Coupon Reset
3130AMX72,1,Overnight SOFR,D,2021-06-17,Coupon Reset
3130AMYW6,1,Overnight SOFR,D,2021-06-22,Coupon Reset
3130AN5T3,1,Overnight SOFR,D,2021-07-01,Coupon Reset
3130AN6B1,1,Overnight SOFR,D,2021-07-02,Coupon Reset
3130AN6M7,1,Overnight SOFR,D,2021-07-07,Coupon Reset
3130ANJG6,1,Overnight SOFR,D,2021-08-06,Coupon Reset
3130ANL32,1,Overnight SOFR,D,2021-08-09,Coupon Reset
3130ANL65,1,Overnight SOFR,D,2021-08-06,Coupon Reset
3130ANLY4,1,Overnight SOFR,D,2021-08-09,Coupon Reset
3130ANQ94,1,Overnight SOFR,D,2021-08-12,Coupon Reset
3130ANWS5,1,Overnight SOFR,D,2021-09-03,Coupon Reset
3130ANWU0,1,Overnight SOFR,D,2021-08-31,Coupon Reset
3130ANWZ9,1,Overnight SOFR,D,2021-09-07,Coupon Reset
3130ANX70,1,Overnight SOFR,D,2021-09-01,Coupon Reset
3130ANY61,1,Overnight SOFR,D,2021-09-14,Coupon Reset
3130ANZN3,1,Overnight SOFR,D,2021-09-14,Coupon Reset
3130ANZT0,1,Overnight SOFR,D,2021-09-16,Coupon Reset
3130AP3L7,1,Overnight SOFR,D,2021-09-15,Coupon Reset
3130APA54,1,Overnight SOFR,D,2021-10-04,Coupon Reset
3130APF42,1,Overnight SOFR,D,2021-09-30,Coupon Reset
3130APFC4,1,Overnight SOFR,D,2021-10-01,Coupon Reset
3130APFD2,1,Overnight SOFR,D,2021-09-30,Coupon Reset
3130APLT0,1,Overnight SOFR,D,2021-10-21,Coupon Reset
3130APLU7,1,Overnight SOFR,D,2021-10-22,Coupon Reset
3130APZG3,1,Overnight SOFR,D,2021-11-19,Coupon Reset
3130AQ5J8,1,Overnight SOFR,D,2021-12-01,Coupon Reset
3130AQ6L2,1,Overnight SOFR,D,2021-12-01,Coupon Reset
3130AQAN3,1,Overnight SOFR,D,2021-12-09,Coupon Reset
3130AQAP8,1,Overnight SOFR,D,2021-12-08,Coupon Reset
3130AQC35,1,Overnight SOFR,D,2021-12-08,Coupon Reset
3130AQC43,1,Overnight SOFR,D,2021-12-09,Coupon Reset
3130AQC50,1,Overnight SOFR,D,2021-12-10,Coupon Reset
3130AQCG6,1,Overnight SOFR,D,2021-12-10,Coupon Reset
3130AQCY7,1,Overnight SOFR,D,2021-12-15,Coupon Reset
3130AQDT7,1,Overnight SOFR,D,2021-12-16,Coupon Reset
3130AQE66,1,Overnight SOFR,D,2021-12-17,Coupon Reset
3130AQEQ2,1,Overnight SOFR,D,2021-12-21,Coupon Reset
3130AQLS0,1,Overnight SOFR,D,2022-01-10,Coupon Reset
3130AQR21,1,Overnight SOFR,D,2022-01-25,Coupon Reset
3130AQRF2,1,Overnight SOFR,D,2022-01-31,Coupon Reset
3130AQXA6,1,Overnight SOFR,D,2022-02-08,Coupon Reset
3130AQY31,1,Overnight SOFR,D,2022-02-10,Coupon Reset
3130AQZB2,1,Overnight SOFR,D,2022-02-15,Coupon Reset
3130AQZJ5,1,Overnight SOFR,D,2022-02-15,Coupon Reset
3130AQZM8,1,Overnight SOFR,D,2022-02-15,Coupon Reset
3130AR2G5,1,Overnight SOFR,D,2022-02-17,Coupon Reset
3130AR3A7,1,Overnight SOFR,D,2022-02-17,Coupon Reset
3130AR3K5,1,Overnight SOFR,D,2022-02-17,Coupon Reset
3130AR3W9,1,Overnight SOFR,D,2022-02-18,Coupon Reset
3130AR4R9,1,Overnight SOFR,D,2022-02-24,Coupon Reset
3130AR4W8,1,Overnight SOFR,D,2022-02-25,Coupon Reset
3130AR5M9,1,Overnight SOFR,D,2022-02-24,Coupon Reset
3130AR5N7,1,Overnight SOFR,D,2022-02-28,Coupon Reset
3130AR6N6,1,Overnight SOFR,D,2022-02-28,Coupon Reset
3130AR6R7,1,Overnight SOFR,D,2022-03-01,Coupon Reset
3130ARBG5,1,Overnight SOFR,D,2022-03-11,Coupon Reset
3130ARK83,1,Overnight SOFR,D,2022-03-28,Coupon Reset
3130ARKN0,1,Overnight SOFR,D,2022-03-28,Coupon Reset
3130ARMN8,1,Overnight SOFR,D,2022-04-01,Coupon Reset
3130ARNA5,1,Overnight SOFR,D,2022-04-04,Coupon Reset
3130ARTS0,1,Overnight SOFR,D,2022-04-20,Coupon Reset
3130ARU41,1,Overnight SOFR,D,2022-04-20,Coupon Reset
3130ARWP2,1,Overnight SOFR,D,2022-04-26,Coupon Reset
3130AS4U0,1,Overnight SOFR,D,2022-05-13,Coupon Reset
3130ASGM5,1,Overnight SOFR,D,2022-06-14,Coupon Reset
3130ASHD4,1,Overnight SOFR,D,2022-06-16,Coupon Reset
3130ASHF9,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASHJ1,1,Overnight SOFR,D,2022-06-16,Coupon Reset
3130ASHP7,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASHQ5,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASLM9,1,Overnight SOFR,D,2022-06-29,Coupon Reset
3130ASLW7,1,Overnight SOFR,D,2022-06-30,Coupon Reset
3130ASM71,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASM89,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASMD8,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASMF3,1,Overnight SOFR,D,2022-07-07,Coupon Reset
3130ASMX4,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASMY2,1,Overnight SOFR,D,2022-07-08,Coupon Reset
3130ASMZ9,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASN21,1,Overnight SOFR,D,2022-07-07,Coupon Reset
3130ASNM7,1,Overnight SOFR,D,2022-07-08,Coupon Reset
3130ASP45,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASPW3,1,Overnight SOFR,D,2022-07-13,Coupon Reset
3130ASQ36,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQ77,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQ85,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQZ5,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASR68,1,Overnight SOFR,D,2022-07-18,Coupon Reset
3130ASR84,1,Overnight SOFR,D,2022-07-18,Coupon Reset
3130ASRA9,1,Overnight SOFR,D,2022-07-19,Coupon Reset
3130ASRN1,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASRP6,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASS26,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS34,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS42,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS59,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSB6,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSC4,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSE0,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSG5,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSH3,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSK6,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSP5,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASSS9,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASST7,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASSV2,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSW0,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASSY6,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSZ3,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130AST58,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST66,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST74,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST82,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST90,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASTB5,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASTD1,1,Overnight SOFR,D,2022-07-27,Coupon Reset
3130ASTJ8,1,Overnight SOFR,D,2022-07-27,Coupon Reset
3130ASTP4,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASTT6,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASTU3,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASU23,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASU31,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASU49,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUG2,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUH0,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUL1,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUR8,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASUS6,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASUX5,1,Overnight SOFR,D,2022-08-02,Coupon Reset
3130ASUY3,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVF3,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVJ5,1,Overnight SOFR,D,2022-08-04,Coupon Reset
3130ASVL0,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVT3,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASVU0,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASVV8,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASW21,1,Overnight SOFR,D,2022-08-08,Coupon Reset
3130ASW39,1,Overnight SOFR,D,2022-08-09,Coupon Reset
3130ASX61,1,Overnight SOFR,D,2022-08-10,Coupon Reset
3130ASX95,1,Overnight SOFR,D,2022-08-11,Coupon Reset
3130ASZQ5,1,Overnight SOFR,D,2022-08-18,Coupon Reset
3130AT2S5,1,Overnight SOFR,D,2022-08-19,Coupon Reset
3130AT2W6,1,Overnight SOFR,D,2022-08-22,Coupon Reset
3130AT3G0,1,Overnight SOFR,D,2022-08-23,Coupon Reset
3130AT3Z8,1,Overnight SOFR,D,2022-08-23,Coupon Reset
3130AT4A2,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT4B0,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT4X2,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT5P8,1,Overnight SOFR,D,2022-08-25,Coupon Reset
3130AT5Q6,1,Overnight SOFR,D,2022-08-25,Coupon Reset
3130AT5V5,1,Overnight SOFR,D,2022-08-25,Coupon Reset
