maturity_category_code,maturity_category_desc
0,Due in one year or less
1,Due after one year through two years
2,Due after two years through three years
3,Due after three years through four years
4,Due after four years through five years
5,Due after five years
6,Due after five years
7,Due after five years
8,Due after five years
9,Due after five years
10,Due after five years
11,Due after five years
12,Due after five years
13,Due after five years
14,Due after five years
15,Due after five years
16,Due after five years
17,Due after five years
18,Due after five years
19,Due after five years
20,Due after five years